"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Attorney__c","LLC_BI__ExpansionLh__c","LLC_BI__ExpansionRe__c","LLC_BI__RefinanceLh__c","LLC_BI__RefinanceRe__c","LLC_BI__Start_upLh__c","LLC_BI__Start_upRe__c","LLC_BI__acquisitionLh__c","LLC_BI__acquisitionRe__c","LLC_BI__clientView__c","LLC_BI__comments__c","LLC_BI__docClass__c","LLC_BI__docManager__c","LLC_BI__docTab__c","LLC_BI__docType__c","LLC_BI__dueDaysPrior__c","LLC_BI__firstReview__c","LLC_BI__lookupKey__c","LLC_BI__naOk__c","LLC_BI__onesToWatch__c","LLC_BI__owner__c","LLC_BI__sortOrder__c","LLC_BI__Portal_Doc_Description__c","LLC_BI__Portal_Doc_Name__c","LLC_BI__Portal_Enabled__c","NDOC__description__c","NDOC__neededByStage__c","NDOC__priority__c","LLC_BI__Approval_Roles__c","LLC_BI__Viewer_Roles__c","LLC_BI__Criteria__c","NDOC__Placeholder_Approval_Roles__c","NDOC__Placeholder_Viewer_Roles__c","LLC_BI__Auto_Esign__c","LLC_BI__Placeholder_Viewer_Groups__c","LLC_BI__Placeholder_Viewer_Profiles__c","LLC_BI__Requirement__c","LLC_BI__Document_Id_Mapping__c","LLC_BI__E_Vault__c","AutorabitExtId__c"
"a090U000008rUFzQAM","0053g000000ln7zAAA","","Identity Card","2022-05-03T11:04:54.000Z","0053g000000ln7zAAA","2022-10-12T19:40:44.000Z","0053g000000ln7zAAA","","false","","","","","","","","","false","","a0E0U000006uesFUAQ","a0I3g000000ThxeEAC","","a0K3g000001QHZEEA4","","false","42375056309548148","false","false","","","","","false","","","","","","","","","false","","","","","false",""
"a093g000000aLpUAAU","0053g000000FhreAAC","","Income Verification","2020-10-12T19:27:33.000Z","0053g000000FhreAAC","2022-11-01T07:49:31.000Z","0053g000000ln7zAAA","","false","","","","","","","","","false","","a0E3g000000PNB6EAO","a0I3g000000ThxjEAC","","a0K3g000001QHZaEAO","","false","42154269312200881","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Consumer - HELOC""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification / Application""}}__GUID__{{ENDIF}}","","","false","","","","","false",""
"a093g000000aLpVAAU","0053g000000FhreAAC","","Credit Application","2020-10-12T19:27:33.000Z","0053g000000FhreAAC","2022-11-01T07:49:31.000Z","0053g000000ln7zAAA","","false","","","","","","","","","false","","a0E3g000000PNB7EAO","a0I3g000000ThxjEAC","","a0K3g000001QHZaEAO","","false","42296812121513802","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Consumer - HELOC""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification / Application""}}__GUID__{{ENDIF}}","","","false","","","","","false",""
"a093g000000aLpWAAU","0053g000000FhreAAC","","Income Verification","2020-10-12T19:27:33.000Z","0053g000000FhreAAC","2022-11-01T07:49:31.000Z","0053g000000ln7zAAA","","false","","","","","","","","","false","","a0E3g000000PNB8EAO","a0I3g000000ThxjEAC","","a0K3g000001QHZaEAO","","false","42153639879270386","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Consumer - Unsecured LOC""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification / Application""}}__GUID__{{ENDIF}}","","","false","","","","","false",""
"a093g000000aLpXAAU","0053g000000FhreAAC","","Credit Application","2020-10-12T19:27:33.000Z","0053g000000FhreAAC","2022-11-01T07:49:31.000Z","0053g000000ln7zAAA","","false","","","","","","","","","false","","a0E3g000000PNB9EAO","a0I3g000000ThxjEAC","","a0K3g000001QHZaEAO","","false","42132314111958947","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Consumer - Unsecured LOC""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification / Application""}}__GUID__{{ENDIF}}","","","false","","","","","false",""
"a093g000000aLpYAAU","0053g000000FhreAAC","","Income Verification","2020-10-12T19:27:33.000Z","0053g000000FhreAAC","2022-11-01T07:49:31.000Z","0053g000000ln7zAAA","","false","","","","","","","","","false","","a0E3g000000PNBAEA4","a0I3g000000ThxjEAC","","a0K3g000001QHZaEAO","","false","42057813404778519","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Consumer - Unsecured Term""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification / Application""}}__GUID__{{ENDIF}}","","","false","","","","","false",""
"a093g000000aLpZAAU","0053g000000FhreAAC","","Credit Application","2020-10-12T19:27:33.000Z","0053g000000FhreAAC","2022-11-01T07:49:31.000Z","0053g000000ln7zAAA","","false","","","","","","","","","false","","a0E3g000000PNBBEA4","a0I3g000000ThxjEAC","","a0K3g000001QHZaEAO","","false","42105285144840207","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Consumer - Unsecured Term""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification / Application""}}__GUID__{{ENDIF}}","","","false","","","","","false",""
"a093g000000aLpaAAE","0053g000000FhreAAC","","Income Verification","2020-10-12T19:27:33.000Z","0053g000000FhreAAC","2022-11-01T07:49:32.000Z","0053g000000ln7zAAA","","false","","","","","","","","","false","","a0E3g000000PNBCEA4","a0I3g000000ThxjEAC","","a0K3g000001QHZaEAO","","false","42126180747961686","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Consumer - Vehicle""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification / Application""}}__GUID__{{ENDIF}}","","","false","","","","","false",""
"a093g000000aLpbAAE","0053g000000FhreAAC","","Credit Application","2020-10-12T19:27:33.000Z","0053g000000FhreAAC","2022-11-01T07:49:32.000Z","0053g000000ln7zAAA","","false","","","","","","","","","false","","a0E3g000000PNBDEA4","a0I3g000000ThxjEAC","","a0K3g000001QHZaEAO","","false","42331165757274708","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Consumer - Vehicle""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification / Application""}}__GUID__{{ENDIF}}","","","false","","","","","false",""
"a093g000000aLpcAAE","0053g000000FhreAAC","","Bill of Sale","2020-10-12T19:27:33.000Z","0053g000000FhreAAC","2022-11-01T07:49:32.000Z","0053g000000ln7zAAA","","false","","","","","","","","","false","","a0E3g000000PNBEEA4","a0I3g000000ThxjEAC","","a0K3g000001QHZaEAO","","false","42992603771043773","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Consumer - Vehicle""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification / Application""}}__GUID__{{ENDIF}}","","","false","","","","","false",""
